"202","1662","14","139","","","Dionisotti 1982, 139."
"200","1663","14","139","","","Dionisotti 1982, 139."
"46","1665","8","14","36","number(s)","Bischoff, Kat., no. 36."
"47","1666","8","","69","","Bischoff, Kat., no. 69."
"574","1667","8","","236","","Bischoff, Kat., no. 236."
"573","1667","58","45","","","Kendall and Wallis 2010, 45."
"540","1668","41","14445","","","Jones BOT, 144-45."
"72","1669","8","9192","436","","Bischoff, Kat., no. 436."
"78","1671","8","","609","","Bischoff, Kat., no. 609."
"577","1688","58","47","","","Kendall and Wallis 2010, 47."
"118","1692","8","","1223","","Bischoff, Kat., no. 1223."
"129","1693","8","","1351","","Bischoff, Kat., no. 1351."
"158","1696","8","","1782","","Bischoff, Kat., no. 1782."
"539","1697","40","176","","","Jones, DNR (CCSL 123A), 176."
"225","1713","8","","2739","","Bischoff, Kat., no. 2739."
"314","1737","8",".3","","","Bischoff, Kat., [vol. 3]."
"391","1752","8",".3","","","Bischoff, Kat., [vol. 3]."
"377","1753","8",".3","","","Bischoff, Kat., [vol. 3]."
"567","1757","57","312","","","Scriptorium 1989, 312."
"568","1757","58","53","","","Kendall and Wallis 2010, 53."
"373","1758","8",".3","","","Bischoff, Kat., [vol. 3]."
"582","1759","58","55","","","Kendall and Wallis 2010, 55."
"421","1767","8",".3","","","Bischoff, Kat., [vol. 3]."
"426","1779","8",".3","","","Bischoff, Kat., [vol. 3]."
"427","1780","8",".3","","","Bischoff, Kat., [vol. 3]."
"438","1785","8",".3","","","Bischoff, Kat., [vol. 3]."
"218","1808","8","","2466","","Bischoff, Kat., no. 2466."
"232","1814","8","","2645","","Bischoff, Kat., no. 2645."
"423","1844","8",".3","","","Bischoff, Kat., [vol. 3]."
"484","1866","29","304","","","Gorman 1996, 304."
"91","1893","8","","809","","Bischoff, Kat., no. 809."
"143","1913","8","","1569","","Bischoff, Kat., no. 1569."
"155","1915","8","","1719","","Bischoff, Kat., no. 1719."
"161","1917","8","","1790","","Bischoff, Kat., no. 1790."
"162","1918","8","","1791","","Bischoff, Kat., no. 1791."
"175","1920","8","","2180","","Bischoff, Kat., no. 2180."
"211","1922","8","","2426","","Bischoff, Kat., no. 2426."
"229","1934","8","","2615","","Bischoff, Kat., no. 2615."
"256","1941","8","","3248","","Bischoff, Kat., no. 3248."
"320","1957","8",".3","","","Bischoff, Kat., [vol. 3]."
