"266","161","Apocalypse commentary","104","","","","","","","30","1"
"267","161","In epistulas VII catholicas","7","","","","","","","","1"
"268","162","Expositio Apocalypseos","4","","","","","","","","1"
"269","164","Expositio Apocalypseos","4","","","","","","","","1"
"270","165","Expositio Apocalypseos","4","","","","","","","","1"
"271","166","Expositio Apocalypseos","4","pp. 175-339","","","","","","","1"
"272","166","In Prouerbia Salemonis","17","","","","","","","","1"
"273","167","Expositio Apocalypseos","4","pp. 2-140","","","","","","","1"
"274","168","Expositio Apocalypseos","4","","","","","","","","1"
"275","171","Expositio Apocalypseos","4","","","","","","","","1"
"276","171","In epistulas VII catholicas","7","","","","","","","","1"
"277","172","Expositio Apocalypseos","4","","","","","","","","1"
"278","173","Expositio Apocalypseos","4","fols. 134v-191","","","","","","","1"
"279","173","In Cantica Canticorum","5","fols. 1-134","","","","","","","1"
"280","173","In librum beati patris Tobiae ","24","fols. I9Iv-202","","","","","","","1"
"281","174","Expositio Apocalypseos","4","fols. 70-111","","","","","","","1"
"282","174","In epistulas VII catholicas","7","fols. 2v-70","","","","","","","1"
"283","177","Expositio Apocalypseos","4","","","","","","","","1"
"284","177","In Prouerbia Salemonis","17","","","","","","","","1"
"285","178","Expositio Apocalypseos","4","","","","","","","","1"
"286","180","Expositio Apocalypseos","4","","","","","","","","1"
"287","181","Expositio Apocalypseos","4","fols. 1-138","","","","","","","1"
"288","182","Expositio Apocalypseos","4","","","","","","","","1"
"289","182","In epistulas VII catholicas","7","","","","","","","","1"
"290","184","Expositio Apocalypseos","4","","","","","","","","1"
"291","186","Expositio Apocalypseos","4","","","","","","","","1"
"292","187","Expositio Apocalypseos","4","","","","","","","","1"
"293","188","Expositio Apocalypseos","4","","","","","","","","1"
"294","193","Expositio Apocalypseos","4","","","","","","","","1"
"295","195","Expositio Apocalypseos","4","","","","","","","","1"
"296","197","Expositio Apocalypseos","4","fols. 116v-174","","","","","","","1"
"297","197","In epistulas VII catholicas","7","fols. 35-116","","","","","","","1"
"298","198","Expositio Apocalypseos","4","","","","","","","","1"
"299","199","Expositio Apocalypseos","4","","","","","","","","1"
"300","201","Expositio Apocalypseos","4","fols. 165-188","","","","","","","1"
"301","201","De tabernaculo","22","fols. 101-157","","","","","","","1"
"302","201","In librum beati patris Tobiae ","24","fols. 157v sqq","","","","","","","1"
"303","205","Expositio Apocalypseos","4","","","","","","","","1"
"304","205","In epistulas VII catholicas","7","","","","","","","","1"
"305","207","Expositio Apocalypseos","4","","","","","","","","1"
"306","211","Expositio Apocalypseos","4","","","","","","","","1"
"307","214","Expositio Apocalypseos","4","1-30","","","","","","","1"
"308","215","Expositio Apocalypseos","4","","","","","","","","1"
"309","216","Expositio Apocalypseos","4","","","","","","","","1"
"310","218","Expositio Apocalypseos","4","","","","","","","","1"
"311","218","In epistulas VII catholicas","7","","","","","","","","1"
"312","219","Expositio Apocalypseos","4","","","","","","","","1"
"313","221","Expositio Apocalypseos","4","fols. 1-74v","","","","","","","1"
"314","222","Expositio Apocalypseos","4","","","","","2","","","1"
"315","223","Expositio Apocalypseos","4","1-96","","","","","1","","1"
"316","224","In epistulas VII catholicas","7","","","","","","","","1"
"317","226","In epistulas VII catholicas","7","fols. 11-26","","","","","","","1"
"318","231","In epistulas VII catholicas","7","","","","","","","","1"
"319","232","In epistulas VII catholicas","7","fols. 1-108","","","","","","","1"
"320","233","In epistulas VII catholicas","7","fols. 1-85","","","","","","","1"
"321","234","In epistulas VII catholicas","7","","","","","","","","1"
"322","235","In epistulas VII catholicas","7","","","","","","","","1"
"323","236","In epistulas VII catholicas","7","","","","","","","","1"
"324","238","In epistulas VII catholicas","7","","","","","","","","1"
"325","239","In epistulas VII catholicas","7","","","","","","","","1"
"326","240","In epistulas VII catholicas","7","","","","","","","","1"
"327","241","In epistulas VII catholicas","7","","","","","","","","1"
"328","243","In epistulas VII catholicas","7","fols. 1v-125v","","","","","","","1"
"329","244","In epistulas VII catholicas","7","","","","","","","","1"
"330","245","In epistulas VII catholicas","7","","","","","","","","1"
"332","250","In epistulas VII catholicas","7","","","","","","","","1"
"333","251","In epistulas VII catholicas","7","","","","","","","","1"
"334","252","In epistulas VII catholicas","7","","","","","","","","1"
"335","254","In epistulas VII catholicas","7","","","","","","","","1"
"336","257","In epistulas VII catholicas","7","","","","","","","","1"
"337","259","In epistulas VII catholicas","7","","","","","","","","1"
"338","261","In epistulas VII catholicas","7","","","","","","","","1"
"339","265","In epistulas VII catholicas","7","","","","","","","","1"
"340","267","In epistulas VII catholicas","7","","","","","","","","1"
"341","268","In epistulas VII catholicas","7","","","","","","","","1"
"342","269","In epistulas VII catholicas","7","fols. 2-86","","","","","","","1"
"343","269","In librum beati patris Tobiae ","24","fols. 86v-95","","","","","","","1"
"344","272","In epistulas VII catholicas","7","","","","","","","","1"
"345","273","In epistulas VII catholicas","7","","","","","","","","1"
"346","274","In epistulas VII catholicas","7","","","","","","","","1"
"347","275","In epistulas VII catholicas","7","","","","","","","","1"
"348","277","In epistulas VII catholicas","7","","","","","","","","1"
"349","278","In epistulas VII catholicas","7","","","","","","","","1"
"350","279","In epistulas VII catholicas","7","","","","","","","","1"
"351","279","In Regum librum XXX quaestiones","20","","","","","","","","1"
"352","280","In epistulas VII catholicas","7","","","","","","","","1"
"353","281","In epistulas VII catholicas","7","","","","","","","","1"
"354","282","In epistulas VII catholicas","7","1-131v","","","","","","","1"
"355","283","In epistulas VII catholicas","7","","","","","","","","1"
"356","284","In epistulas VII catholicas","7","","","","","","","","1"
"357","284","In Regum librum XXX quaestiones","20","pp. 274-318","","","","","","","1"
"358","285","In epistulas VII catholicas","7","","","","","","","","1"
"359","285","In Marci euangelium expositio","15","","","","","","","","1"
"360","286","In epistulas VII catholicas","7","","","","","","","","1"
"361","287","In epistulas VII catholicas","7","","","","","","","","1"
"362","288","In epistulas VII catholicas","7","","","","","","","","1"
"363","289","In epistulas VII catholicas","7","","","","","","","","1"
"364","291","In epistulas VII catholicas","7","","","","","","","","1"
"365","292","In epistulas VII catholicas","7","","","","","","","","1"
"366","293","In epistulas VII catholicas","7","114r-214v","","","","","2","","1"
"367","293","Historia ecclesiastica gentis Anglorum","41","14r-113v ","","","","","1","","1"
"368","294","In epistulas VII catholicas","7","","","","","","","","1"
"369","295","In epistulas VII catholicas","7","","","","","","","","1"
"370","296","In epistulas VII catholicas","7","","","","","","","","1"
"371","297","In epistulas VII catholicas","7","","","","","","","","1"
"372","298","In epistulas VII catholicas","7","","","","","","","","1"
"373","298","De temporibus","30","","","","","","","","1"
"374","298","De temporum ratione","31","","","","","","","","1"
"375","302","In epistulas VII catholicas","7","1-96","","","","","","","1"
"376","303","In epistulas VII catholicas","7","3-110","","","","","","","1"
"377","305","In epistulas VII catholicas","7","","","","","","","","1"
"378","305","In Regum librum XXX quaestiones","20","","","","","","","","1"
"379","306","In epistulas VII catholicas","7","","","","","","","","1"
"380","307","In epistulas VII catholicas","7","","","","","","","","1"
"381","309","In epistulas VII catholicas","7","fols. 76-97","","","","","","","1"
"382","311","In epistulas VII catholicas","7","fols. 1-84","","","","","","","1"
"383","312","In epistulas VII catholicas","7","","","","","","","","1"
"384","313","In epistulas VII catholicas","7","","","","","","","","1"
"385","314","In epistulas VII catholicas","7","","","","","","","","1"
"386","315","In epistulas VII catholicas","7","","","","","","","","1"
"387","316","In epistulas VII catholicas","7","","","","","","","","1"
