id,work,text_type,excluded?,repo_id,shelfmark,notes,citation,support,length,numbered_by,,,blank,binding,fragment?,,,dating,cent_begin,cent_end,year_begin,year_end,origin_country,origin_place,provenance,intials,timestamp,,,lk_entry,sm_alpha_part,sm_num_part,sm_suffix,sm_joined,lk_pages,references,locale_opinions
55,Exp.Act.apost.,,,70,Tanner 6,,"Oxford, Bodleian Library, Tanner 6",,,,,,,,,12,63,s. xii (2),12,12,1151,1200,,,,,7/20/2012 14:13:24,1,0,"Oxford, Bodleian Library, Tanner 6 (s. xii2).",Tanner,6,,Tanner 6,22,,
56,Exp.Act.apost.,,,72,177,,"Oxford, Balliol College, 177",,,,,,,,,12,63,s. xii (2),12,12,1151,1200,,,,,7/20/2012 12:10:49,2,0,"Oxford, Balliol College, 177 (s. xii2).",,177,,177,"22, 35",,
57,Exp.Act.apost.,,,126,65,,"Oxford, Jesus College, 65",,,,,,,,,12,58,s. xii (1),12,12,1101,1150,,,,,7/20/2012 12:10:49,3,0,"Oxford, Jesus College, 65 (s. xii1).",,65,,65,"22, 24, 28",,
58,Exp.Act.apost.,,,126,68,,"Oxford, Jesus College, 68",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,3,0,"Oxford, Jesus College, 68 (s. xii).",,68,,68,"22, 24, 29",,Cirencester; Cirencester; Cirencester
59,Exp.Act.apost.,,,77,K 3 3,,"Oxford, Merton College, K 3 3",,,,,,,,,15,91,s. xv,15,15,1401,1500,,,,,7/20/2012 14:26:40,10,0,"Oxford, Merton College, K 3 3 (s. xv).",K 3,3,,K 3 3,"22, 24, 47, 58, 64, 68, 73, 76, 85, 120",,
60,Exp.Act.apost.,,,78,57,,"Oxford, New College, 57",,,,,,,,,15,91,s. xv,15,15,1401,1500,,,,,7/20/2012 12:10:49,1,0,"Oxford, New College, 57 (s. xv).",,57,,57,22,,
61,Exp.Act.apost.,,,80,321,,"Paris, Bibliothèque de l’Arsenal, 321",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,1,0,"Paris, Bibliothèque de l’Arsenal, 321 (s. xii).",,321,,321,22,,
62,Exp.Act.apost.,,,127,691,,"Paris, Bibliothèque Mazarine, 691",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 12:10:49,2,0,"Paris, Bibliothèque Mazarine, 691 (s. xii).",,691,,691,"22, 29",,
63,Exp.Act.apost.,,,81,lat. 2352,,"Paris, Bibliothèque nationale de France, lat. 2352",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:26:52,3,0,"Paris, Bibliothèque nationale de France, lat. 2352 (s. xii).",lat.,2352,,lat. 2352,"22, 35, 54",,Beauprés; Beauprés; Beauprés
64,Exp.Act.apost.,,,81,lat. 2359,,"Paris, Bibliothèque nationale de France, lat. 2359",,,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 14:49:34,1,0,"Paris, Bibliothèque nationale de France, lat. 2359 (s. xi).",lat.,2359,,lat. 2359,22,,St Martin des Champs
65,Exp.Act.apost.,,,81,lat. 2360,,"Paris, Bibliothèque nationale de France, lat. 2360",,,,,,,,,12,63,s. xii (2),12,12,1151,1200,,,,,7/20/2012 14:13:26,3,0,"Paris, Bibliothèque nationale de France, lat. 2360 (s. xii2).",lat.,2360,,lat. 2360,"22, 29, 35",,
66,Exp.Act.apost.,,,81,lat. 3361,,"Paris, Bibliothèque nationale de France, lat. 3361",,,,,,,,,12,63,s. xii (2),12,12,1151,1200,,,,,7/20/2012 14:13:26,1,0,"Paris, Bibliothèque nationale de France, lat. 3361 (s. xii2).",lat.,3361,,lat. 3361,22,,
67,Exp.Act.apost.,,,81,lat. 2371,,"Paris, Bibliothèque nationale de France, lat. 2371",,,folios,,,,,,1314,78,s. xiii-xiv,13,14,1276,1325,,,,,7/20/2012 14:13:26,7,0,"Paris, Bibliothèque nationale de France, lat. 2371 (s. xiii-xiv).",lat.,2371,,lat. 2371,"22, 35, 48, 54, 59, 73, 117",,S. French; S. French; S. French; S. France; S. France; S. France
68,Exp.Act.apost.,,,81,lat. 12283,,"Paris, Bibliothèque nationale de France, lat. 12283",,,,,,,,,9,22,s. ix (1),9,9,801,850,,,,,7/20/2012 14:26:52,1,0,"Paris, Bibliothèque nationale de France, lat. 12283 (s. ix1).",lat.,12283,,lat. 12283,22,"Bischoff, Kat., [vol. 3].",Corbie
69,Exp.Act.apost.,,,81,lat. 12284,,"Paris, Bibliothèque nationale de France, lat. 12284",,,,,,,,,9,22,s. ix (1),9,9,801,850,,,,,7/20/2012 14:13:25,2,0,"Paris, Bibliothèque nationale de France, lat. 12284 (s. ix1).",lat.,12284,,lat. 12284,"22, 29","Bischoff, Kat., [vol 3].",Corbie; Corbie
70,Exp.Act.apost.,,,81,lat. 14440,,"Paris, Bibliothèque nationale de France, lat. 14440",,,,,,,,,12,55,s. xii,12,12,1101,1200,,,,,7/20/2012 14:49:46,1,0,"Paris, Bibliothèque nationale de France, lat. 14440 (s. xii).",lat.,14440,,lat. 14440,22,,St Victor
71,Exp.Act.apost.,,,128,76,,"Paris, Bibliothèque Sainte-Geneviève, 76",,,,,,,,,12,63,s. xii (2),12,12,1151,1200,,,,,7/20/2012 12:10:49,3,0,"Paris, Bibliothèque Sainte-Geneviève, 76 (s. xii2).",,76,,76,"22, 24, 36",,
72,Exp.Act.apost.,,,216,III. G. 26 (Truhlář 551),,"Prague, Národní knihovna České republiky, III. G. 26 (Truhlář 551)",paper,328,pages,2,,,,,15,91,s. xv,15,15,1401,1500,Czech Republic,Prague?,,,7/20/2012 14:50:12,1,0,"Prague, Národní knihovna České republiky, III. G. 26 (Truhlář 551) (s. xv, Prague?).",III. G.,26,(Truhlář 551),III. G. 26 (Truhlář 551),22,"Truhlar 1905, no. 551.",Czech Republic; Prague?
73,Exp.Act.apost.,,,216,IX. E. 2 (Truhlář 1758),,"Prague, Národní knihovna České republiky, IX. E. 2 (Truhlář 1758)",paper,282,pages,,,,,,15,91,s. xv,15,15,1401,1500,,,,,7/20/2012 14:50:35,2,0,"Prague, Národní knihovna České republiky, IX. E. 2 (Truhlář 1758) (s. xv).",IX. E.,2,(Truhlář 1758),IX. E. 2 (Truhlář 1758),"22, 24","Truhlar 1905, no. 1758.",
74,Exp.Act.apost.,,,87,Garrett 71,,"Princeton, Princeton University Library, Garrett 71",,,,,,,,,1213,66,s. xii-xiii,12,13,1176,1225,,,,,7/20/2012 14:13:27,2,0,"Princeton, Princeton University Library, Garrett 71 (s. xii-xiii).",Garrett,71,,Garrett 71,"22, 24",,Waverley; Waverley
75,Exp.Act.apost.,,,89,6,,"Reims, Bibliothèque municipale, 6",,,,,,,,,10,39,s. x (2),10,10,951,1000,,,,,7/20/2012 12:10:49,4,0,"Reims, Bibliothèque municipale, 6 (s. x2).",,6,,6,"22, 24, 36, 129",,St Thierry; St Thierry; St Thierry; St Thierry
76,Exp.Act.apost.,,,93,532,,"Rouen, Bibliothèque municipale, 532",,,,,,,,,11,43,s. xi,11,11,1001,1100,,,,,7/20/2012 12:10:49,2,0,"Rouen, Bibliothèque municipale, 532 (s. xi).",,532,,532,"22, 29",,Fécamp; Fécamp
77,Exp.Act.apost.,,,95,259,,"St. Gall, Stiftsbibliothek, 259",,,,,,,,,8,17,s. viiiex,8,8,776,800,,,,,2/26/2016 09:44:04,2,0,"St. Gall, Stiftsbibliothek, 259 (s. viiiex).",,259,,259,"22, 29",,St Gall; St Gall
